year,ageGroup,count
1981,14 - Below,9588
1981,15 - 19,4712
1981,20 - 24,5846
1981,25 - 29,5919
1981,30 - 34,4048
1982,14 - Below,9100
1982,15 - 19,4650
1982,20 - 24,5956
1982,25 - 29,6643
1982,30 - 34,5357
1983,14 - Below,8433
1983,15 - 19,4498
1983,20 - 24,5164
1983,25 - 29,5323
1983,30 - 34,3659
1984,14 - Below,8199
1984,15 - 19,4359
1984,20 - 24,5035
1984,25 - 29,5348
1984,30 - 34,3956
1985,14 - Below,9154
1985,15 - 19,4822
1985,20 - 24,5196
1985,25 - 29,5489
1985,30 - 34,4264
1986,14 - Below,10524
1986,15 - 19,5520
1986,20 - 24,5512
1986,25 - 29,5809
1986,30 - 34,4836
1987,14 - Below,12407
1987,15 - 19,5941
1987,20 - 24,5733
1987,25 - 29,6946
1987,30 - 34,6359
1988,14 - Below,13271
1988,15 - 19,6237
1988,20 - 24,5440
1988,25 - 29,6899
1988,30 - 34,6561
1989,14 - Below,12207
1989,15 - 19,5620
1989,20 - 24,5735
1989,25 - 29,7076
1989,30 - 34,6731
1990,14 - Below,12053
1990,15 - 19,5954
1990,20 - 24,7582
1990,25 - 29,8810
1990,30 - 34,7546
1991,14 - Below,11634
1991,15 - 19,6235
1991,20 - 24,7813
1991,25 - 29,8579
1991,30 - 34,6855
1992,14 - Below,12708
1992,15 - 19,7347
1992,20 - 24,8014
1992,25 - 29,8375
1992,30 - 34,6908
1993,14 - Below,13119
1993,15 - 19,7141
1993,20 - 24,7563
1993,25 - 29,8332
1993,30 - 34,6967
1994,14 - Below,12462
1994,15 - 19,6904
1994,20 - 24,6707
1994,25 - 29,8376
1994,30 - 34,6911
1995,14 - Below,11372
1995,15 - 19,6158
1995,20 - 24,5826
1995,25 - 29,7987
1995,30 - 34,6463
1996,14 - Below,12162
1996,15 - 19,7507
1996,20 - 24,5977
1996,25 - 29,7359
1996,30 - 34,5999
1997,14 - Below,10172
1997,15 - 19,6444
1997,20 - 24,5190
1997,25 - 29,6542
1997,30 - 34,5192
1998,14 - Below,7208
1998,15 - 19,4692
1998,20 - 24,4283
1998,25 - 29,5022
1998,30 - 34,4202
1999,14 - Below,7288
1999,15 - 19,4678
1999,20 - 24,4849
1999,25 - 29,5513
1999,30 - 34,4531
2000,14 - Below,9132
2000,15 - 19,5194
2000,20 - 24,5123
2000,25 - 29,7056
2000,30 - 34,6434
2001,14 - Below,10091
2001,15 - 19,5070
2001,20 - 24,5432
2001,25 - 29,6877
2001,30 - 34,6665
2002,14 - Below,11970
2002,15 - 19,5503
2002,20 - 24,5568
2002,25 - 29,7806
2002,30 - 34,7238
2003,14 - Below,12017
2003,15 - 19,5107
2003,20 - 24,5483
2003,25 - 29,6822
2003,30 - 34,7023
2004,14 - Below,13793
2004,15 - 19,6048
2004,20 - 24,6499
2004,25 - 29,7748
2004,30 - 34,8298
2005,14 - Below,15057
2005,15 - 19,6404
2005,20 - 24,7122
2005,25 - 29,8309
2005,30 - 34,8508
2006,14 - Below,17919
2006,15 - 19,7169
2006,20 - 24,9267
2006,25 - 29,10524
2006,30 - 34,10383
2007,14 - Below,17011
2007,15 - 19,8036
2007,20 - 24,8484
2007,25 - 29,9404
2008,14 - Below,15420
2008,15 - 19,7516
2008,20 - 24,7443
2008,25 - 29,8019
2009,14 - Below,17706
2009,15 - 19,8246
2009,20 - 24,7907
2009,25 - 29,8423
2010,14 - Below,20864
2010,15 - 19,8683
2010,20 - 24,8388
2010,25 - 29,8218
2011,14 - Below,19891
2011,15 - 19,8346
2011,20 - 24,8365
2011,25 - 29,8629
2012,14 - Below,18887
2012,15 - 19,8493
2012,20 - 24,8898
2012,25 - 29,8847
2013,14 - Below,17170
2013,15 - 19,8309
2013,20 - 24,8029
2013,25 - 29,8060
2014,14 - Below,18014
2014,15 - 19,8401
2014,20 - 24,8396
2014,25 - 29,8790
2015,14 - Below,21581
2015,15 - 19,11102
2015,20 - 24,8902
2015,25 - 29,9178
2016,14 - Below,20430
2016,15 - 19,10500
2016,20 - 24,8127
2016,25 - 29,9134
2017,14 - Below,18741
2017,15 - 19,9319
2017,20 - 24,7216
2017,25 - 29,7957
2018,14 - Below,15820
2018,15 - 19,8233
2018,20 - 24,6673
2018,25 - 29,7809
2019,14 - Below,13323
2019,15 - 19,6454
2019,20 - 24,5791
2019,25 - 29,7592
2020,14 - Below,3109
2020,15 - 19,1512
2020,20 - 24,1394
2020,25 - 29,2180
